randomNumber,entryNumber,toolEntry,Society,Reference,toolName,Type,simpleComp,PresLikelihood,Scale,materialDescribed,materialMetal,materialPlant,materialStone,materialBone,materialAntler,materialOther,materialOther_detail,learn,Process,Mode,Gender,childAge_coded,manufacturerAge,manufacturerSex,manufacturerKin,Continent,Subsistence,Paragraph,Image,Image_Caption,permalink,Latitude,Longitude,Date,Pages,Play,Multiple.Uses
1450,637,1,Nuu-chah-nulth,"Kenyon, Susan M.


The Kyuquot way: a study of a West Coast (Nootkan) community",KNIFE,Instrument,NA,NA,AdultVersion,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boys,ADOLESCENCE,NA,NA,NA,North America,Hunter-gatherers,"The young men who have begun to carve within the last few years often learned the art as children from their fathers or uncles. They have started to use their knowledge as they come to realize the potential market for genuine Indian goods. They have the tools from their childhood (of limited range, often only a short-bladed knife and a chisel) and have gone to libraries in Campbell River and Victoria to study pictures of old works of art. Gradually they are building up their own folders of designs for painting, carving and engraving.",NA,NA,https://ehrafworldcultures.yale.edu/sres/29b815e9-357a-4688-b319-7617c2a79401,49.67,-126.67,1980,1660,Use,Single
1450,637,2,Nuu-chah-nulth,"Kenyon, Susan M.


The Kyuquot way: a study of a West Coast (Nootkan) community",CHISEL,Instrument,NA,NA,AdultVersion,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boys,ADOLESCENCE,NA,NA,NA,North America,Hunter-gatherers,"The young men who have begun to carve within the last few years often learned the art as children from their fathers or uncles. They have started to use their knowledge as they come to realize the potential market for genuine Indian goods. They have the tools from their childhood (of limited range, often only a short-bladed knife and a chisel) and have gone to libraries in Campbell River and Victoria to study pictures of old works of art. Gradually they are building up their own folders of designs for painting, carving and engraving.",NA,NA,https://ehrafworldcultures.yale.edu/sres/29b815e9-357a-4688-b319-7617c2a79401,49.67,-126.67,1980,1660,Use,Single
1460,2337,1,Maricopa,"Spier, Leslie, 1893-1961


Yuman tribes of the Gila River",TOP,Game,Comp,Low,ChildOnly,YES,NO,YES,NO,NO,NO,YES,CLAY,NA,NA,NA,Both,NA,NA,NA,NA,North America,Primarily Hunter-gatherers,"Tops were twirled between the palms by both boys and girls. These, as the name implies ( a ma't a paiyi'R a , “flying clay”) were made of a disk of baked clay, an inch to one and a half in diameter, mounted on a slender stick, six inches long (Fig. 14, c ). The lower end of the stick being flat, the top travelled in a circle. The boys would use this as a test of good running; each trying to follow his erratic top.",2337.1,Top.,https://ehrafworldcultures.yale.edu/sres/2d17381e-e305-4365-bb00-69cf2c2414a7,32,-112,1933,530,Play,Single
1461,313,2,Copper Inuit,"Jenness, Diamond, 1886-1969


The material culture of the Copper Eskimos",DOLL,Human figure,NA,NA,ChildOnly,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Girls,NA,CHILD,FEMALE,NA,North America,Hunter-gatherers,"There was more sewing to be done at certain seasons than at others. Thus, in the autumn, all the new clothing for the winter had to be finished before the sun disappeared below the horizon for the long winter night. The women then sewed from early morning until late at night, with only brief respites to cook the meals or to pass the time of day with neighbours. A woman who had no children to sew for was, of course, less busy; the mother of a family was obliged not only to make the clothes for the whole household, but to train her girls to be dressmakers also. The latter began their training with odd scraps of skin, which they learned to join with neat close stitches. Later, they mended rents in their own clothing, and made dolls fully clothed from head to foot. Many men could make their own trousers and socks, and even sealskin shoes in an emergency; but only a very few could cut out a well-fitting coat or make a pair of waterboots that would really keep out the water. Even the women never attained great skill in these last-mentioned tasks until long after marriage, and a young wife often sought the assistance of an older relative or friend.",NA,NA,https://ehrafworldcultures.yale.edu/sres/ff562083-bfe5-4080-a0c9-67e2f4d73555,68.72,-112.53,1946,3113,Use,Single
1463,1580,1,Maori,"Best, Elsdon, 1856-1931


The Maori: volume 2",POLE (CLIMBING),PhysGame,Simple,Low,ChildOnly,YES,NO,YES,NO,NO,NO,NO,NA,NA,NA,NA,Boys,NA,NA,NA,NA,Oceania,Primarily Hunter-gatherers,"Equally, of course, climbing was a favoured pastime or contest among boys. Apart from branched trees, which were numerous enough in most parts of these isles, occasionally a stout ricker, as of white pine, was procured and set up as a climbing pole. The straight, branchless ricker was an excellent “swarming” pole; lads and young men would climb it both with and without the help of a foot loop (tāpārenga, toeke, and tāmāeke).",NA,NA,https://ehrafworldcultures.yale.edu/sres/edd227ef-97d6-4210-8bd7-3a943a7c30c0,-35.33,174.17,1924,2875,Play,Single
1471,571,2,Western Woods Cree,"Mason, Leonard


The Swampy Cree: a study in acculturation",BOW AND ARROW,Weapons,Comp,NA,Mini,NO,NA,NA,NA,NA,NA,NA,NA,YES,VERTICAL,TEACHING-UNSPECIFIED,Boys,NA,NA,NA,NA,North America,Hunter-gatherers,"Boys and girls spent their childhood under a mother's supervision, as she gave them little tasks around the camp, showed them how to trap and fish, taught the girls to make clothing and the boys to shoot small birds with toy bows and arrows. As a boy grew older he was allowed to accompany his father while hunting, and there he learned the habits of animals upon which he would depend for the rest of his years. He also acquired patience, courage, and a contempt for danger and death. The extreme freedom which children possessed extended to their dress with only a breechcloth for the boy and a short dress for his sister. Their early life lacked any of the ceremonialism that usually takes place at birth, name-giving, and anniversaries among other primitive peoples.",NA,NA,https://ehrafworldcultures.yale.edu/sres/556eabe4-0beb-4bff-9f66-ef26b3f30f36,57,-99,1967,202,Use,Single
1475,1363,1,Western Apache,"Reagan, Albert B., 1871-1936


Notes on the Indians of the city of the Fort Apache region",FIDDLE,Music,Simple,Low,AdultVersion,YES,NO,YES,NO,NO,NO,NO,NA,NA,NA,NA,Boys,NA,NA,NA,NA,North America,Primarily Hunter-gatherers,"The furniture, if any, is very meager. In the wickiup summer lodge wooden bed frames are sometimes made with a pole base, some two or three feet above the ground and on this, brush and dry grass are placed, over which blankets are spread. Sometimes the young men will also have a “fiddle” made out of a mescal stalk, on which they play “tunes” for their sweethearts. This about completes the furniture.",NA,NA,https://ehrafworldcultures.yale.edu/sres/8fcd1d52-4a3d-49fe-89eb-b7223f1a0e01,33.86,-110.12,1930,5580,Play,Single
1476,50,1,Hadza,"Crittenden, Alyssa N.


Culture Summary: Hadza",BOW AND ARROW,Weapons,Comp,NA,Mini,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boys,YOUNG,NA,NA,NA,Africa,Hunter-gatherers,"Very young boys tend to limit their hunting play to the borders of camp where they shoot small species of mice and birds with miniature bows and arrows, and occasionally trap small animals with a string noose. The very first bow is made of a small twig, and the accompanying arrows are made of grass and tipped with beeswax or plant resin to provide weight (Crittenden 2016). As they mature, the size and precision of boys’ bows and arrows also matures, and boys begin to travel longer distances from camp and to target somewhat larger animals such as hyrax and medium- to large-sized birds. For their part, girls mainly collect fruit and tubers, and are sometimes called upon to do greater amounts of childcare, water collection, and household maintenance than their male counterparts.",NA,NA,https://ehrafworldcultures.yale.edu/sres/4e929038-8366-40c6-97f0-9c05c8d2d7fa,-3.75,35.18,2019,730,Play,Multiple
1476,50,2,Hadza,"Crittenden, Alyssa N.


Culture Summary: Hadza",TRAP (STRING NOOSE),Untended facility,Simple,NA,AdultVersion,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boys,YOUNG,NA,NA,NA,Africa,Hunter-gatherers,"Very young boys tend to limit their hunting play to the borders of camp where they shoot small species of mice and birds with miniature bows and arrows, and occasionally trap small animals with a string noose. The very first bow is made of a small twig, and the accompanying arrows are made of grass and tipped with beeswax or plant resin to provide weight (Crittenden 2016). As they mature, the size and precision of boys’ bows and arrows also matures, and boys begin to travel longer distances from camp and to target somewhat larger animals such as hyrax and medium- to large-sized birds. For their part, girls mainly collect fruit and tubers, and are sometimes called upon to do greater amounts of childcare, water collection, and household maintenance than their male counterparts.",NA,NA,https://ehrafworldcultures.yale.edu/sres/4e929038-8366-40c6-97f0-9c05c8d2d7fa,-3.75,35.18,2019,730,Play,Multiple
1478,2504,1,Yahgan,"Gusinde, Martin, 1886-1969


The Yahgan: the life and thought of the water nomads of Cape Horn",DOLL,Human figure,Comp,Low,ChildOnly,YES,NO,YES,NO,NO,NO,YES,SKIN FROM AN ADULT BIRD,NA,NA,NA,Girls,NA,CHILD,FEMALE,NA,South America,Hunter-gatherers,"The child also obtains a doll in another way. She takes the carcass of an adult bird, usually a wild goose or a cormorant, cuts the skin all the way round at about the center of the bird, strips it off, dries it, fills it with dry grass, and sews up the large openings. In this way the head, neck, and breast take on their natural shapes.",NA,NA,https://ehrafworldcultures.yale.edu/sres/12adba70-5396-4a9d-8783-62ee6f1cdd54,-55.5,-69.5,1937,1722,Use,Single
1521,864,1,Assiniboine,"Long, James Larpenteur, 1888-


The Assiniboines: From the accounts of the Old Ones told to First Boy (James Larpenteur Long)",ARROW,Weapons,Comp,NA,Mini,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boys,NA,NA,NA,NA,North America,Hunter-gatherers,"A pointed arrow without feathers nose-dived when shot. But the knob-head arrow was often used without feathers, as it was practical either way. Boys used the knobbed arrow for practice and sports. Thirty arrows made a full quiver.",NA,NA,https://ehrafworldcultures.yale.edu/sres/dbea0976-211e-49ca-89f9-627435c74686,49.29,-106.07,1961,1684,Play,Single
1524,2505,1,Yahgan,"Gusinde, Martin, 1886-1969


The Yahgan: the life and thought of the water nomads of Cape Horn",SWING,PhysGame,Simple,Low,ChildOnly,YES,NO,NO,NO,NO,NO,YES,ROPE,NA,NA,NA,Unknown,NA,NA,NA,NA,South America,Hunter-gatherers,"Like the Selk'nam (Vol. I, 395), Yamana children of both sexes amuse themselves with a regular swing. A strong rope suffices, of the kind, for example, used in the large harpoon. Its ends are tied to a high branch, so that the middle part hangs down about half a meter above the ground. A child sits down on it, without using a special seat, and hangs on with both hands; another child starts it swinging by giving it a push. The little ones swing for hours until bad weather drives them into the hut(199) 


. Usually they endlessly repeat the five-syllable word ka□yennam□la in the following rhythm: 767





[Page 586] 767 cont. The child who pushes the swing gives it enough force and speaks quickly enough so that the word ends at the moment the swing comes back to him. Sometimes parents fasten this simple swing inside their dwelling if the framework is strong enough.





199. Fitz-Roy (a):186 mentioned the swing: “Swinging between branches of trees, as our children do, is also a favourite pastime, the ropes being made of strips of sealskin” /cited in English/.",NA,NA,https://ehrafworldcultures.yale.edu/sres/7a3d17ae-b39d-4d54-ac65-6aa40bc56732,-55.5,-69.5,1937,1722,Play,Single
1545,2110,2,Aleut,"Shade, Charles I.


Ethnological notes on the Aleuts",SPEAR,Weapons,Comp,NA,Mini,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,North America,Hunter-gatherers,"There were formerly several children's games designed to acquaint them with hunting weapons and techniques. One such was called ayakux and is still played. A target of the following shape was used:


It was made of wood and hung from a line, so that it swung back and forth when hit. Sixteen points made the game. Darts made of wood with nails for points are used today, but the game was played with small spears and throwing boards.”",NA,NA,https://ehrafworldcultures.yale.edu/sres/08e14dc6-fa61-4569-b8fd-e1299336622e,55,-162.85,1949,3980,Play,Single
1547,703,1,Tlingit,"De Laguna, Frederica, 1906-2204


Under Mount Saint Elias: the history and culture of the Yakutat Tlingit",CANOE,Transport,NA,NA,Mini,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boys,NA,NA,NA,NA,North America,Hunter-gatherers,Small models (kux w At[unknown]s) of such canoes were made for little boys in which they could learn to paddle.,NA,NA,https://ehrafworldcultures.yale.edu/sres/6ec321e6-cef9-4877-b5e4-ea2a28ff3a1d,57,-133.59,1972,6624,Play,Single
1584,2172,1,Ingalik,"Osgood, Cornelius, 1905-1985


Ingalik material culture",ROPE,PhysGame,Simple,NA,ChildOnly,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,North America,Hunter-gatherers,"Rope skipping line: Children skip rope, using a long babiche line held at each end by one person. The jumper stands in the middle. The persons holding the line twist it in an arc to strike the ground once in each direction. Then the jumper gets in the middle and this process is repeated so that the ground is struck four times. Then the line is swung continuously around until the jumper is caught. This game is played in summer and winter by young and old of both sexes.",NA,NA,https://ehrafworldcultures.yale.edu/sres/b6ce28b5-c528-4800-b7ab-6bc868482637,62.5,-159.5,1970,1507,Play,Single
