randomNumber,entryNumber,toolEntry,toolName,Type,simpleComp,Scale,Gender,Age,Society,Subsistence,Reference,social.solitary,Social,risk,Play_vs_use,Play,Multiple.Uses,Toycon,Continent,Latitude,Longitude
1421,2199,1,WEAPON,Weapons,NA,Mini,Boys,Unspecified,Ingalik,Hunter-gatherers,"Osgood, Cornelius, 1905-1985


Ingalik social culture",NA,NA,risky,Play,Play,Single,Not Toycon,North America,62.5,-159.5
1421,2199,2,TRAP,Untended facility,Comp,Mini,Boys,Unspecified,Ingalik,Hunter-gatherers,"Osgood, Cornelius, 1905-1985


Ingalik social culture",NA,NA,safe,Play,Play,Single,Not Toycon,North America,62.5,-159.5
1421,2199,3,POT,Container,NA,Mini,Girls,Unspecified,Ingalik,Hunter-gatherers,"Osgood, Cornelius, 1905-1985


Ingalik social culture",NA,NA,safe,Play,Play,Single,Not Toycon,North America,62.5,-159.5
1421,2199,4,BASKET,Container,NA,Mini,Girls,Unspecified,Ingalik,Hunter-gatherers,"Osgood, Cornelius, 1905-1985


Ingalik social culture",NA,NA,safe,Play,Play,Single,Not Toycon,North America,62.5,-159.5
1448,878,1,SADDLE,Transport,NA,Mini,Both/Unspecified,MIDDLE CHILDHOOD,Blackfoot,Hunter-gatherers,"Ewers, John Canfield


The horse in Blackfoot Indian culture, with comparative material from other western tribes",solitary,Solitary,risky,Use,Use,Single,Not Toycon,North America,49.34,-111.21
1450,637,1,KNIFE,Instrument,NA,AdultVersion,Boys,ADOLESCENCE,Nuu-chah-nulth,Hunter-gatherers,"Kenyon, Susan M.


The Kyuquot way: a study of a West Coast (Nootkan) community",NA,NA,risky,Use,Use,Single,Not Toycon,North America,49.67,-126.67
1450,637,2,CHISEL,Instrument,NA,AdultVersion,Boys,ADOLESCENCE,Nuu-chah-nulth,Hunter-gatherers,"Kenyon, Susan M.


The Kyuquot way: a study of a West Coast (Nootkan) community",NA,NA,risky,Use,Use,Single,Not Toycon,North America,49.67,-126.67
1460,2337,1,TOP,Game,Comp,ChildOnly,Both/Unspecified,Unspecified,Maricopa,Primarily Hunter-gatherers,"Spier, Leslie, 1893-1961


Yuman tribes of the Gila River",general plural,NA,safe,Play,Play,Single,Not Toycon,North America,32,-112
1461,313,2,DOLL,Human figure,NA,ChildOnly,Girls,Unspecified,Copper Inuit,Hunter-gatherers,"Jenness, Diamond, 1886-1969


The material culture of the Copper Eskimos",social,Social,safe,toycon,Use,Single,Toycon,North America,68.72,-112.53
1463,1580,1,POLE (CLIMBING),PhysGame,Simple,ChildOnly,Boys,Unspecified,Maori,Primarily Hunter-gatherers,"Best, Elsdon, 1856-1931


The Maori: volume 2",social,Social,risky,Play,Play,Single,Not Toycon,Oceania,-35.33,174.17
1471,571,2,BOW AND ARROW,Weapons,Comp,Mini,Boys,Unspecified,Western Woods Cree,Hunter-gatherers,"Mason, Leonard


The Swampy Cree: a study in acculturation",social,Social,risky,Use,Use,Single,Not Toycon,North America,57,-99
1475,1363,1,FIDDLE,Music,Simple,AdultVersion,Boys,Unspecified,Western Apache,Primarily Hunter-gatherers,"Reagan, Albert B., 1871-1936


Notes on the Indians of the city of the Fort Apache region",general plural,NA,safe,Play,Play,Single,Not Toycon,North America,33.86,-110.12
1476,50,1,BOW AND ARROW,Weapons,Comp,Mini,Boys,EARLY CHILDHOOD,Hadza,Hunter-gatherers,"Crittenden, Alyssa N.


Culture Summary: Hadza",general plural,NA,risky,play and use,Play,Multiple,Not Toycon,Africa,-3.75,35.18
1476,50,2,TRAP (STRING NOOSE),Untended facility,Simple,AdultVersion,Boys,EARLY CHILDHOOD,Hadza,Hunter-gatherers,"Crittenden, Alyssa N.


Culture Summary: Hadza",general plural,NA,safe,play and use,Play,Multiple,Not Toycon,Africa,-3.75,35.18
1478,2504,1,DOLL,Human figure,Comp,ChildOnly,Girls,Unspecified,Yahgan,Hunter-gatherers,"Gusinde, Martin, 1886-1969


The Yahgan: the life and thought of the water nomads of Cape Horn",solitary,Solitary,safe,toycon,Use,Single,Toycon,South America,-55.5,-69.5
1521,864,1,ARROW,Weapons,Comp,Mini,Boys,Unspecified,Assiniboine,Hunter-gatherers,"Long, James Larpenteur, 1888-


The Assiniboines: From the accounts of the Old Ones told to First Boy (James Larpenteur Long)",general plural,NA,risky,Play,Play,Single,Not Toycon,North America,49.29,-106.07
1524,2505,1,SWING,PhysGame,Simple,ChildOnly,Both/Unspecified,Unspecified,Yahgan,Hunter-gatherers,"Gusinde, Martin, 1886-1969


The Yahgan: the life and thought of the water nomads of Cape Horn",social,Social,risky,Play,Play,Single,Not Toycon,South America,-55.5,-69.5
1545,2110,2,SPEAR,Weapons,Comp,Mini,Both/Unspecified,Unspecified,Aleut,Hunter-gatherers,"Shade, Charles I.


Ethnological notes on the Aleuts",general plural,NA,risky,Play,Play,Single,Not Toycon,North America,55,-162.85
1547,703,1,CANOE,Transport,NA,Mini,Boys,Unspecified,Tlingit,Hunter-gatherers,"De Laguna, Frederica, 1906-2204


Under Mount Saint Elias: the history and culture of the Yakutat Tlingit",NA,NA,risky,Play,Play,Single,Not Toycon,North America,57,-133.59
1584,2172,1,ROPE,PhysGame,Simple,ChildOnly,Both/Unspecified,Unspecified,Ingalik,Hunter-gatherers,"Osgood, Cornelius, 1905-1985


Ingalik material culture",social,Social,safe,Play,Play,Single,Not Toycon,North America,62.5,-159.5
1587,1313,1,WAGON,Transport,Comp,Mini,Boys,Unspecified,Western Apache,Primarily Hunter-gatherers,"Goodwin, Grenville, 1907-1940


The social organization of the Western Apache",social,Social,safe,play and toycon,Play,Multiple,Toycon,North America,33.86,-110.12
1587,1313,10,MARBLES,Game,Simple,ChildOnly,Boys,Unspecified,Western Apache,Primarily Hunter-gatherers,"Goodwin, Grenville, 1907-1940


The social organization of the Western Apache",social,Social,safe,Play,Play,Single,Not Toycon,North America,33.86,-110.12
1587,1313,11,TOP,Game,NA,ChildOnly,Boys,Unspecified,Western Apache,Primarily Hunter-gatherers,"Goodwin, Grenville, 1907-1940


The social organization of the Western Apache",social,Social,safe,Play,Play,Single,Not Toycon,North America,33.86,-110.12
1587,1313,2,HOUSE (WICKIUP),Shelter,Simple,Mini,Both/Unspecified,Unspecified,Western Apache,Primarily Hunter-gatherers,"Goodwin, Grenville, 1907-1940


The social organization of the Western Apache",social,Social,safe,play and toycon,Play,Multiple,Toycon,North America,33.86,-110.12
1587,1313,3,DOLL,Human figure,Comp,ChildOnly,Girls,Unspecified,Western Apache,Primarily Hunter-gatherers,"Goodwin, Grenville, 1907-1940


The social organization of the Western Apache",general plural,NA,safe,toycon,Use,Single,Toycon,North America,33.86,-110.12
1587,1313,4,BOW AND ARROW,Weapons,Comp,Mini,Boys,Unspecified,Western Apache,Primarily Hunter-gatherers,"Goodwin, Grenville, 1907-1940


The social organization of the Western Apache",social,Social,risky,Use,Use,Single,Not Toycon,North America,33.86,-110.12
1587,1313,5,KNIFE,Instrument,Comp,Mini,Boys,Unspecified,Western Apache,Primarily Hunter-gatherers,"Goodwin, Grenville, 1907-1940


The social organization of the Western Apache",general plural,NA,risky,Use,Use,Single,Not Toycon,North America,33.86,-110.12
1587,1313,6,DOLL,Human figure,Comp,ChildOnly,Girls,Unspecified,Western Apache,Primarily Hunter-gatherers,"Goodwin, Grenville, 1907-1940


The social organization of the Western Apache",general plural,NA,safe,toycon,Use,Single,Toycon,North America,33.86,-110.12
1587,1313,7,DRUM,Music,Comp,Mini,Both/Unspecified,Unspecified,Western Apache,Primarily Hunter-gatherers,"Goodwin, Grenville, 1907-1940


The social organization of the Western Apache",social,Social,safe,play and toycon,Play,Multiple,Toycon,North America,33.86,-110.12
1587,1313,8,ARROW,Weapons,Comp,Mini,Boys,Unspecified,Western Apache,Primarily Hunter-gatherers,"Goodwin, Grenville, 1907-1940


The social organization of the Western Apache",social,Social,safe,Use,Use,Single,Not Toycon,North America,33.86,-110.12
1587,1313,9,BALL,PhysGame,NA,ChildOnly,Boys,MIDDLE CHILDHOOD,Western Apache,Primarily Hunter-gatherers,"Goodwin, Grenville, 1907-1940


The social organization of the Western Apache",social,Social,safe,Play,Play,Single,Not Toycon,North America,33.86,-110.12
16,529,1,HOUSE (WIGWAM COVER),Shelter,Simple,AdultVersion,Girls,EARLY CHILDHOOD,Ojibwa,Hunter-gatherers,"Kohl, Johann Georg, 1808-1878


Kitchi-Gami: wanderings round Lake Superior",general singular,NA,safe,Use,Use,Single,Not Toycon,North America,47.33,-91.86
1602,865,1,BOW AND ARROW,Weapons,Comp,Mini,Boys,Unspecified,Assiniboine,Hunter-gatherers,"Long, James Larpenteur, 1888-


The Assiniboines: From the accounts of the Old Ones told to First Boy (James Larpenteur Long)",general plural,NA,risky,Use,Use,Single,Not Toycon,North America,49.29,-106.07
162,2198,1,BOWL,Container,Simple,AdultVersion,Both/Unspecified,Unspecified,Ingalik,Hunter-gatherers,"Osgood, Cornelius, 1905-1985


Ingalik social culture",solitary,Solitary,safe,Play,Play,Single,Not Toycon,North America,62.5,-159.5
162,2198,2,BOOT CRIMPER,Instrument,Simple,AdultVersion,Both/Unspecified,Unspecified,Ingalik,Hunter-gatherers,"Osgood, Cornelius, 1905-1985


Ingalik social culture",solitary,Solitary,risky,Play,Play,Single,Not Toycon,North America,62.5,-159.5
162,2198,3,AWL,Instrument,NA,AdultVersion,Both/Unspecified,Unspecified,Ingalik,Hunter-gatherers,"Osgood, Cornelius, 1905-1985


Ingalik social culture",solitary,Solitary,risky,Play,Play,Single,Not Toycon,North America,62.5,-159.5
1621,2305,1,ARROW,Weapons,Comp,Mini,Boys,Unspecified,Crow,Hunter-gatherers,"Lowie, Robert Harry, 1883-1957


The Crow Indians",general plural,NA,risky,Use,Use,Single,Not Toycon,North America,45.37,-107.87
1631,987,1,BOW AND ARROW,Weapons,Comp,Mini,Both/Unspecified,Unspecified,Omaha,Primarily Hunter-gatherers,"Dorsey, James Owen, 1848-1895


Omaha dwelling, furniture, and implements",solitary,Solitary,risky,Play,Play,Single,Not Toycon,North America,41.43,-96.5
1655,2176,1,SNAPPING STICK,PhysGame,Simple,ChildOnly,Boys,Unspecified,Ingalik,Hunter-gatherers,"Osgood, Cornelius, 1905-1985


Ingalik social culture",social,Social,safe,Play,Play,Single,Not Toycon,North America,62.5,-159.5
1678,451,1,TRAP (BIRD),Tended facility,Comp,AdultVersion,Both/Unspecified,Unspecified,Innu,Hunter-gatherers,"Lips, Julius, 1895-1950


Trap systems among the Montagnais-Naskapi Indians of Labrador peninsula",general plural,NA,safe,use,Use,Single,Not Toycon,North America,53,-58
1684,967,1,MAT,Shelter,Simple,Mini,Girls,Unspecified,Klamath,Hunter-gatherers,"Pearsall, Marion, 1923-


Klamath childhood and education",social,Social,safe,toycon,Use,Single,Toycon,North America,42,-121.31
1684,967,2,DOLL,Human figure,NA,ChildOnly,Girls,Unspecified,Klamath,Hunter-gatherers,"Pearsall, Marion, 1923-


Klamath childhood and education",social,Social,safe,play,Play,Single,Not Toycon,North America,42,-121.31
1695,2376,1,SLING,Weapons,Comp,Mini,Boys,Unspecified,Western Apache,Primarily Hunter-gatherers,"Goodwin, Grenville, 1907-1940


The social organization of the Western Apache",social,Social,risky,Play,Play,Single,Not Toycon,North America,33.86,-110.12
170,2277,1,DOLL,Human figure,NA,ChildOnly,Girls,Unspecified,Tlingit,Hunter-gatherers,"Jones, Livingston French, 1865-1928


A study of the Thlingets of Alaska",general plural,NA,safe,Play,Play,Single,Not Toycon,North America,57,-133.59
170,2277,2,BALL,PhysGame,NA,ChildOnly,Boys,Unspecified,Tlingit,Hunter-gatherers,"Jones, Livingston French, 1865-1928


A study of the Thlingets of Alaska",general plural,NA,safe,Play,Play,Single,Not Toycon,North America,57,-133.59
170,2277,3,MARBLES,Game,Simple,ChildOnly,Boys,Unspecified,Tlingit,Hunter-gatherers,"Jones, Livingston French, 1865-1928


A study of the Thlingets of Alaska",general plural,NA,safe,Play,Play,Single,Not Toycon,North America,57,-133.59
170,2277,4,KITE,PhysGame,NA,ChildOnly,Boys,Unspecified,Tlingit,Hunter-gatherers,"Jones, Livingston French, 1865-1928


A study of the Thlingets of Alaska",general plural,NA,safe,Play,Play,Single,Not Toycon,North America,57,-133.59
1701,2334,1,DART,Weapons,NA,Mini,Boys,Unspecified,Maricopa,Primarily Hunter-gatherers,"Spier, Leslie, 1893-1961


Yuman tribes of the Gila River",social,Social,risky,Play,Play,Single,Not Toycon,North America,32,-112
1701,2334,2,ARROW,Weapons,Comp,Mini,Boys,Unspecified,Maricopa,Primarily Hunter-gatherers,"Spier, Leslie, 1893-1961


Yuman tribes of the Gila River",social,Social,risky,Play,Play,Single,Not Toycon,North America,32,-112
1701,2334,4,DOLL,Human figure,Simple,ChildOnly,Girls,Unspecified,Maricopa,Primarily Hunter-gatherers,"Spier, Leslie, 1893-1961


Yuman tribes of the Gila River",NA,NA,safe,NA,NA,NA,NA,North America,32,-112
1702,500,1,BOW AND ARROW,Weapons,Comp,Mini,Boys,Unspecified,Ojibwa,Hunter-gatherers,"Densmore, Frances, 1867-1957


Chippewa music: volume 2",social,Social,risky,Play,Play,Single,Not Toycon,North America,47.33,-91.86
1712,2085,1,SWING,PhysGame,NA,ChildOnly,Both/Unspecified,EARLY CHILDHOOD,San,Hunter-gatherers,"Marshall, Lorna


The !Kung of Nyae Nyae",social,Social,risky,Play,Play,Single,Not Toycon,Africa,-19.83,20.58
1725,1692,1,AXE,Instrument,NA,AdultVersion,Boys,Unspecified,Warao,Hunter-gatherers,"Wilbert, Johannes


Navigators of the winter sun",solitary,Solitary,risky,Use,Use,Single,Not Toycon,South America,9.08,-62
1725,1692,2,CANOE,Transport,NA,Mini,Boys,Unspecified,Warao,Hunter-gatherers,"Wilbert, Johannes


Navigators of the winter sun",social,Social,risky,Use,Use,Single,Not Toycon,South America,9.08,-62
1726,2108,1,MARBLES,Game,Simple,ChildOnly,Boys,Unspecified,Aleut,Hunter-gatherers,"Elliott, Henry Wood, 1846-1930


Our Arctic province: Alaska and the Seal Islands",general plural,NA,safe,Play,Play,Single,Not Toycon,North America,55,-162.85
1726,2108,2,TOP,Game,NA,ChildOnly,Boys,Unspecified,Aleut,Hunter-gatherers,"Elliott, Henry Wood, 1846-1930


Our Arctic province: Alaska and the Seal Islands",general plural,NA,safe,Play,Play,Single,Not Toycon,North America,55,-162.85
1726,2108,3,KITE,PhysGame,NA,ChildOnly,Boys,Unspecified,Aleut,Hunter-gatherers,"Elliott, Henry Wood, 1846-1930


Our Arctic province: Alaska and the Seal Islands",general plural,NA,safe,Play,Play,Single,Not Toycon,North America,55,-162.85
1726,2108,4,BALL,PhysGame,Comp,ChildOnly,Boys,Unspecified,Aleut,Hunter-gatherers,"Elliott, Henry Wood, 1846-1930


Our Arctic province: Alaska and the Seal Islands",general plural,NA,safe,Play,Play,Single,Not Toycon,North America,55,-162.85
1726,2108,5,DOLL,Human figure,NA,ChildOnly,Girls,Unspecified,Aleut,Hunter-gatherers,"Elliott, Henry Wood, 1846-1930


Our Arctic province: Alaska and the Seal Islands",general plural,NA,safe,Play,Play,Single,Not Toycon,North America,55,-162.85
1738,2300,1,HOUSE (TIPI),Shelter,Comp,Mini,Girls,Unspecified,Blackfoot,Hunter-gatherers,"Hungry Wolf, Beverly


The ways of my grandmothers",NA,NA,safe,Play,Play,Single,Not Toycon,North America,49.34,-111.21
1738,2300,3,DOLL,Human figure,Comp,ChildOnly,Girls,Unspecified,Blackfoot,Hunter-gatherers,"Hungry Wolf, Beverly


The ways of my grandmothers",NA,NA,safe,Play,Play,Single,Not Toycon,North America,49.34,-111.21
1738,2300,5,TOOLS (REPLICA),Instrument,NA,Mini,Girls,Unspecified,Blackfoot,Hunter-gatherers,"Hungry Wolf, Beverly


The ways of my grandmothers",social,Social,risky,Play,Play,Single,Not Toycon,North America,49.34,-111.21
1739,2446,1,DOLL,Human figure,Simple,ChildOnly,Both/Unspecified,Unspecified,Ticuna,Primarily Hunter-gatherers,"Nimuendajú, Curt


The Tukuna",social,Social,safe,Play,Play,Single,Not Toycon,South America,-3.66,-69.87
1739,2446,2,FIGURE (ANIMAL),Animal Figure,Simple,ChildOnly,Both/Unspecified,Unspecified,Ticuna,Primarily Hunter-gatherers,"Nimuendajú, Curt


The Tukuna",social,Social,safe,Play,Play,Single,Not Toycon,South America,-3.66,-69.87
1739,2446,3,CANOE,Transport,NA,Mini,Both/Unspecified,Unspecified,Ticuna,Primarily Hunter-gatherers,"Nimuendajú, Curt


The Tukuna",social,Social,safe,Play,Play,Single,Not Toycon,South America,-3.66,-69.87
1739,2446,4,BOW AND ARROW,Weapons,Comp,Mini,Both/Unspecified,Unspecified,Ticuna,Primarily Hunter-gatherers,"Nimuendajú, Curt


The Tukuna",social,Social,risky,Play,Play,Single,Not Toycon,South America,-3.66,-69.87
1739,2446,5,TOP,Game,Comp,ChildOnly,Both/Unspecified,Unspecified,Ticuna,Primarily Hunter-gatherers,"Nimuendajú, Curt


The Tukuna",social,Social,safe,Play,Play,Single,Not Toycon,South America,-3.66,-69.87
1739,2446,6,STRING FIGURE,Game,Simple,ChildOnly,Girls,Unspecified,Ticuna,Primarily Hunter-gatherers,"Nimuendajú, Curt


The Tukuna",social,Social,safe,play,Play,Single,Not Toycon,South America,-3.66,-69.87
1741,2003,1,BOLA,Weapons,Comp,Mini,Boys,Unspecified,Tehuelche,Hunter-gatherers,"Musters, George Chaworth, 1841-1879


On the races of Patagonia",general plural,NA,risky,Play,Play,Single,Not Toycon,South America,-40.5,-68
1741,2003,2,HOUSE (TOLDOS),Shelter,NA,Mini,Girls,Unspecified,Tehuelche,Hunter-gatherers,"Musters, George Chaworth, 1841-1879


On the races of Patagonia",general plural,NA,safe,play and toycon,Play,Multiple,Toycon,South America,-40.5,-68
1741,2003,3,LASSO,Weapons,Comp,Mini,Boys,Unspecified,Tehuelche,Hunter-gatherers,"Musters, George Chaworth, 1841-1879


On the races of Patagonia",general plural,NA,safe,Play,Play,Single,Not Toycon,South America,-40.5,-68
1751,256,1,KAYAK,Transport,Comp,AdultVersion,Boys,MIDDLE CHILDHOOD,Aleut,Hunter-gatherers,"Laughlin, William S.


Aleuts, survivors of the Bering Land Bridge",social,Social,risky,Play,Play,Single,Not Toycon,North America,55,-162.85
1754,2256,1,DOLL,Human figure,Simple,ChildOnly,Girls,Unspecified,Nuu-chah-nulth,Hunter-gatherers,"Koppert, Vincent Aloysius, 1898-


Contributions to Clayoquot ethnology",social,Social,safe,Play,Play,Single,Not Toycon,North America,49.67,-126.67
1762,2260,1,DOLL,Human figure,Simple,ChildOnly,Girls,Unspecified,Nuxalk,Hunter-gatherers,"McIlwraith, T. F. (Thomas Forsyth), 1899-1964


The Bella Coola Indians: volume two",NA,NA,safe,Play,Play,Single,Not Toycon,North America,52.33,-126.5
1767,1315,1,HOUSE (WICKIUP),Shelter,Comp,Mini,Girls,Unspecified,Western Apache,Primarily Hunter-gatherers,"Goodwin, Grenville, 1907-1940


The social organization of the Western Apache",social,Social,safe,play and toycon,Play,Multiple,Toycon,North America,33.86,-110.12
1767,1315,2,HOUSE (RAMADA),Shelter,Simple,Mini,Girls,Unspecified,Western Apache,Primarily Hunter-gatherers,"Goodwin, Grenville, 1907-1940


The social organization of the Western Apache",social,Social,safe,toycon,Use,Single,Toycon,North America,33.86,-110.12
1767,1315,3,DOLL,Human figure,Simple,ChildOnly,Girls,Unspecified,Western Apache,Primarily Hunter-gatherers,"Goodwin, Grenville, 1907-1940


The social organization of the Western Apache",social,Social,safe,toycon,Use,Single,Toycon,North America,33.86,-110.12
1771,2299,1,DOLL,Human figure,Comp,ChildOnly,Girls,Unspecified,Blackfoot,Hunter-gatherers,"Hungry Wolf, Beverly


The ways of my grandmothers",NA,NA,safe,play and toycon,Play,Multiple,Toycon,North America,49.34,-111.21
1777,65,1,BOW AND ARROW,Weapons,Comp,AdultVersion,Boys,Unspecified,Hadza,Hunter-gatherers,"Marlowe, Frank, 1954-


The Hadza: hunter-gatherers of Tanzania",NA,NA,risky,Use,Use,Single,Not Toycon,Africa,-3.75,35.18
1789,2131,1,DOLL,Human figure,Comp,ChildOnly,Girls,EARLY CHILDHOOD,Ingalik,Hunter-gatherers,"Osgood, Cornelius, 1905-1985


Ingalik material culture",NA,NA,safe,toycon,Use,Single,Toycon,North America,62.5,-159.5
1789,2131,2,FURNITURE,Shelter,NA,Mini,Girls,Unspecified,Ingalik,Hunter-gatherers,"Osgood, Cornelius, 1905-1985


Ingalik material culture",NA,NA,safe,toycon,Use,Single,Toycon,North America,62.5,-159.5
1792,2242,1,CANOE,Transport,Comp,Mini,Boys,Unspecified,Chinookans,Hunter-gatherers,"Ray, Verne Frederick, 1905-2003


Lower Chinook ethnographic notes",social,Social,safe,Play and toycon,Play,Multiple,Toycon,North America,45.17,-119.17
1792,2242,2,DOLL,Human figure,Simple,ChildOnly,Girls,Unspecified,Chinookans,Hunter-gatherers,"Ray, Verne Frederick, 1905-2003


Lower Chinook ethnographic notes",general plural,NA,safe,Play and toycon,Play,Multiple,Toycon,North America,45.17,-119.17
1793,456,1,BOW AND ARROW,Weapons,Comp,Mini,Boys,Unspecified,Innu,Hunter-gatherers,"McGee, John T.


Cultural stability and change among the Montagnais Indians of the Lake Melville region of Labrador",solitary,Solitary,risky,play and use,Play,Multiple,Not Toycon,North America,53,-58
1814,2441,1,STILTS,PhysGame,Simple,ChildOnly,Both/Unspecified,Unspecified,Barama River Carib,Primarily Hunter-gatherers,"Gillin, John


The Barama River Caribs of British Guiana",general plural,NA,risky,Play,Play,Single,Not Toycon,South America,7.42,-60.17
1816,1438,1,CANOE,Transport,Simple,Mini,Girls,MIDDLE CHILDHOOD,Tiwi,Hunter-gatherers,"Goodale, Jane C. (Jane Carter), 1926-


Tiwi wives: a study of the women of Melville Island, North Australia",social,Social,risky,Use,Use,Single,Not Toycon,Oceania,-11.38,131
1819,2287,1,MARBLES,Game,Simple,ChildOnly,Boys,Unspecified,Assiniboine,Hunter-gatherers,"Rodnick, David, 1906-


The Fort Belknap Assiniboine of Montana",social,Social,safe,Play,Play,Single,Not Toycon,North America,49.29,-106.07
1819,2287,2,SKIPPING ROPE,PhysGame,NA,ChildOnly,Girls,Unspecified,Assiniboine,Hunter-gatherers,"Rodnick, David, 1906-


The Fort Belknap Assiniboine of Montana",social,Social,safe,Play,Play,Single,Not Toycon,North America,49.29,-106.07
1828,2425,1,TOP (WITH WHIP),Game,Comp,ChildOnly,Both/Unspecified,Unspecified,Maori,Primarily Hunter-gatherers,"Buck, Peter Henry, 1880-1951


The coming of the Maori",NA,NA,safe,play,Play,Single,Not Toycon,Oceania,-35.33,174.17
1836,2450,1,DOLL,Human figure,Simple,ChildOnly,Girls,Unspecified,Warao,Hunter-gatherers,"Kirchhoff, Paul


The Warrau",general plural,NA,safe,NA,NA,NA,NA,South America,9.08,-62
1836,2450,2,HAMMOCK,Shelter,NA,Mini,Girls,Unspecified,Warao,Hunter-gatherers,"Kirchhoff, Paul


The Warrau",general plural,NA,safe,NA,NA,NA,NA,South America,9.08,-62
1837,55,1,BOW,Weapons,Comp,Mini,Boys,Unspecified,Hadza,Hunter-gatherers,"Marlowe, Frank, 1954-


The Hadza",general plural,NA,risky,Play,Play,Single,Not Toycon,Africa,-3.75,35.18
1880,2388,1,DOLL,Human figure,Simple,ChildOnly,Both/Unspecified,Unspecified,Aranda,Hunter-gatherers,"Basedow, Herbert, 1881-


The Australian aboriginal",NA,NA,safe,Play,Play,Single,Not Toycon,Oceania,-24.25,133.5
1893,2280,1,BASKET,Container,NA,Mini,Girls,EARLY CHILDHOOD,Yuki,Hunter-gatherers,"Foster, George McClelland, 1913-


A summary of Yuki culture",social,Social,safe,Use,Use,Single,Not Toycon,North America,39.64,-123.74
1902,2391,1,WEAPON,Weapons,NA,Mini,Boys,Unspecified,Aranda,Hunter-gatherers,"Basedow, Herbert, 1881-


The Australian aboriginal",solitary,Solitary,risky,Play and use,Play,Multiple,Not Toycon,Oceania,-24.25,133.5
1903,2497,1,SPEAR,Weapons,NA,Mini,Boys,Unspecified,Yahgan,Hunter-gatherers,"Cooper, John M.


The Yahgan",general plural,NA,risky,play,Play,Single,Not Toycon,South America,-55.5,-69.5
1903,2497,2,BOW AND ARROW,Weapons,Comp,Mini,Boys,Unspecified,Yahgan,Hunter-gatherers,"Cooper, John M.


The Yahgan",general plural,NA,risky,play,Play,Single,Not Toycon,South America,-55.5,-69.5
1903,2497,3,SLING,Weapons,Comp,Mini,Boys,Unspecified,Yahgan,Hunter-gatherers,"Cooper, John M.


The Yahgan",general plural,NA,risky,play,Play,Single,Not Toycon,South America,-55.5,-69.5
1904,553,1,DOLL,Human figure,Comp,ChildOnly,Both/Unspecified,Unspecified,Ojibwa,Hunter-gatherers,"Theriault, Madeline, 1908-


Moose to moccasins: the story of Ka Kita Wa Pa No Kwe",NA,NA,safe,Play,Play,Single,Not Toycon,North America,47.33,-91.86
191,704,1,BOW AND ARROW,Weapons,Comp,Mini,Both/Unspecified,Unspecified,Tlingit,Hunter-gatherers,"De Laguna, Frederica, 1906-2204


Under Mount Saint Elias: the history and culture of the Yakutat Tlingit",general plural,NA,risky,Use,Use,Single,Not Toycon,North America,57,-133.59
1912,2208,1,ARROW,Weapons,Comp,Mini,Boys,Unspecified,Innu,Hunter-gatherers,"Burgesse, J. Allan


The Woman and the child among the Lac-St-Jean Montagnais",general singular,NA,risky,play,Play,Single,Not Toycon,North America,53,-58
1912,2208,2,DOLL,Human figure,Comp,ChildOnly,Girls,Unspecified,Innu,Hunter-gatherers,"Burgesse, J. Allan


The Woman and the child among the Lac-St-Jean Montagnais",general plural,NA,safe,play and toycon,Play,Multiple,Toycon,North America,53,-58
1941,1804,1,SPINDLE,Instrument,Comp,Mini,Girls,EARLY CHILDHOOD,Karajá,Primarily Hunter-gatherers,"Krause, Fritz,1881-1963


In the wilderness of Brazil: report and results of the Leipzig Araguaia Expedition of 1908",general plural,NA,safe,Use,Use,Single,Not Toycon,South America,-11.19,-50.35
1950,2285,1,LODGE,Shelter,Simple,Mini,Girls,Unspecified,Assiniboine,Hunter-gatherers,"Long, James Larpenteur, 1888-


The Assiniboines: From the accounts of the Old Ones told to First Boy (James Larpenteur Long)",social,Social,safe,play and toycon,Play,Multiple,Toycon,North America,49.29,-106.07
1960,2468,1,BALL,PhysGame,Simple,ChildOnly,Both/Unspecified,Unspecified,Chorote,Hunter-gatherers,"Rosen, Eric von, 1879-1948


Ethnographical research work during the Swedish Chaco-Cordillera Expedition, 1901-1902",social,Social,safe,Play,Play,Single,Not Toycon,South America,-22.21,-62.65
1966,2012,1,HOUSE (HUT),Shelter,Comp,Mini,Both/Unspecified,Unspecified,Yahgan,Hunter-gatherers,"Gusinde, Martin, 1886-1969


The Yahgan: the life and thought of the water nomads of Cape Horn",social,Social,safe,play and toycon,Play,Multiple,Toycon,South America,-55.5,-69.5
197,2407,1,WINDMILL,Game,Simple,ChildOnly,Boys,Unspecified,Kiribati,Primarily Hunter-gatherers,"Koch, Gerd


The material culture of Kiribati",general plural,NA,safe,toycon,Use,Single,Toycon,Oceania,3.38,172.99
1975,469,1,BOW AND ARROW,Weapons,Comp,Mini,Boys,Unspecified,Innu,Hunter-gatherers,"Turner, Lucien M. (Lucien McShan)


Ethnology of the Ungava district, Hudson Bay Territory",general plural,NA,risky,play and use,Play,Multiple,Not Toycon,North America,53,-58
1975,469,2,CROSSBOW,Weapons,Comp,Mini,Both/Unspecified,Unspecified,Innu,Hunter-gatherers,"Turner, Lucien M. (Lucien McShan)


Ethnology of the Ungava district, Hudson Bay Territory",general plural,NA,risky,play and use,Play,Multiple,Not Toycon,North America,53,-58
